"term","definition","contextual_explanation"
"tumeurs neuroendocrines","Tumeurs dérivées des cellules neuroendocrines","Localisation possible au larynx."
"dysphonie chronique","Trouble de la voix persistant","Signe de découverte du cancer du larynx (>2 mois)."
"dysphagie","Difficulté à avaler","Signe de découverte selon le site tumoral."
"dyspnée laryngée","Gêne respiratoire d’origine laryngée","Se manifeste par une bradypnée inspiratoire."
"crachats hémoptoïques","Expectorations contenant du sang","Signe associé au cancer du larynx."
"cartilage thyroïde","Cartilage du larynx formant la pomme d’Adam","À l’examen : déformation, point douloureux possible."
"adénopathies cervicales","Ganglions lymphatiques augmentés de volume au niveau du cou","Aires II et IV les plus proches du larynx."
"laryngoscopie indirecte","Examen du larynx au miroir laryngé","Moyen diagnostique."
"nasofibrolaryngoscopie","Endoscopie nasale avec fibroscope pour visualiser le larynx","Moyen diagnostique."
"laryngoscopie directe en suspension (LDS)","Examen du larynx sous anesthésie générale avec suspension du laryngoscope","Permet la biopsie (examen de référence)."
"VADS","Voies aérodigestives supérieures","Recherche d’une deuxième localisation cancéreuse, car mêmes facteurs de risque."
"tomodensitométrie (TDM)","Examen radiologique en coupes","Examen spécifique, avec injection, du cavum au médiastin supérieur."
"imagerie par résonance magnétique (IRM)","Examen utilisant un champ magnétique","Non systématique, coupes T1/T2 avec gadolinium, examine les tissus mous."
"tomographie par émission de positons (TEP)","Imagerie fonctionnelle utilisant un traceur radioactif","Détection précoce des métastases ganglionnaires et des récidives."
"chaîne jugulo-carotidienne","Groupe ganglionnaire le long de la veine jugulaire et de l’artère carotide","Atteinte dans l’extension ganglionnaire sus-glottique."
"aires sous-digastriques et sus-omohyoïdiens","Régions ganglionnaires cervicales profondes","Atteintes dans l’extension ganglionnaire sus-glottique."
"ganglion prélaryngé","Ganglion situé devant le larynx","Présent en cas d’atteinte de la commissure antérieure (étage glottique)."
"chaînes récurrentielles","Ganglions le long des nerfs récurrents","Atteintes dans l’extension sous-glottique."
"métastases viscérales","Dissémination tumorale aux organes profonds","Par ordre : poumons, os, foie."
"cancers métachrones","Cancers survenant à des moments différents sur des muqueuses exposées aux mêmes agressions","Autres localisations cancéreuses sur muqueuses VADS."
"classification TNM","Système de classification internationale des tumeurs (Tumeur, Node, Metastasis)","Selon UICC 2009."
"larynx supra-glottique","Partie supérieure du larynx","Comprend épiglotte, replis aryépiglottiques, aryténoïdes, bandes ventriculaires, ventricules."
"glotte","Partie moyenne du larynx","Comprend plis vocaux, commissures antérieure et postérieure."
"larynx infra-glottique","Partie inférieure du larynx","Du bord inférieur des plis vocaux au premier anneau trachéal."
"carcinome in situ (Tis)","Tumeur localisée à l’épithélium sans traverser la membrane basale","Stade Tis dans la classification TNM."
"espace pré-épiglottique","Espace graisseux devant l’épiglotte","Envali dans T3 du supra-glottique."
"espace para-laryngé","Espace conjonctif latéral au larynx","Envahi dans T3 sus-glottique."
"espace para-glottique","Espace conjonctif latéral à la glotte","Envahi dans T3 glottique."
"fixation glottique","Immobilisation du pli vocal","Signe de T3 selon la classification."
"lyse minimale du cartilage thyroïde (corticale interne)","Destruction partielle de la couche interne du cartilage thyroïde","Critère de T3 glottique."
"cartilage cricoïde","Cartilage en anneau à la base du larynx","Envali dans T4a infra-glottique."
"Réunion de Concertation Pluridisciplinaire (RCP)","Réunion regroupant différents spécialistes pour décider du traitement","Lieu où sont prises les indications thérapeutiques."
"IPS (Indice de Performance Status)","Score évaluant l’état général et l’autonomie du patient","Facteur influençant les décisions thérapeutiques."
