ICTERES
Objectifs :
1.	Lithiase de la voie biliaire principale +++ (descendu dans le cholédoque)
2.	Parasitoses :
1.	Ascaris
3.	Hémobilie : présence de sang +/- coagulé dans la bile pouvant se bloquer dans la lumière du cholédoque, secondaire à une :
1.	Contusion du foie, PBH
2.	Rupture d’anévrysme de l’artère hépatique
3.	...
4.	Dysfonction du sphincter d’Oddi (sphincter régulant le débit de la bile)
2.	En résumé :
Principales étiologies dans la pratique quotidienne :
1.	Lithiase cholédocienne
2.	Cancer de la tête du pancréas

4.	ICTERES PAR CHOLESTASE INTRA-HEPATIQUE
1.	Pas de dilatation des voies biliaires à l’échographie
2.	Le raisonnement repose sur les données de l’échographie hépatique
1.	Foie hyperéchogène et homogène :
1.	Stéatose hépatique souvent d’origine éthylique. Parfois, stéatoses hépatiques non alcoolique : NASH (non alcoolic steatosis hepatitis)
2.	Foie hétérogène avec plusieurs tumeurs hyperéchogènes ou iso ou hypoéchogènes : (foie hétérogène)
1.	Métastase hépatique
2.	Carcinome hépatocellulaire
3.	Cholangiocarcinome intrahépatique

3.	Foie siège d’une lésion d’échostructure liquidienne :
1.	Kyste hydatique
2.	Rarement :
1.	Métastase hépatique nécrosé
2.	Cystadénocarcinome hépatique

4.	Lésions d’échostructure mixte ; tissulaire ou liquidienne
1.	Abcès amibien
2.	Abcès aux pyogènes
3.	Rarement, une métastase hépatique ou un CHC nécrosé
5.	Foie d’allure cirrhotique : (irrégulier, surface irrégulière et hétérogène)
1.	Cirrhose hépatique
6.	Foie d’aspect normale : situation diagnostique la plus difficile (sans dilatation des VB, pas de lésion, foie d’aspect normal)
1.	Cholestase d’installation récente : (ictère d’apparition récente)
1.	Hépatite alcoolique aiguë (personne qui boît régulièrement et un jour boit de façon excessive)
2.	Hépatite médicamenteuse (médicaments hépatotoxiques : paracetamol, AINS)
3.	Hépatite virale
4.	Hépatites bactériennes (septicémie avec atteinte du foie)
5.	NB : hépatite = transaminases 2-5N
2.	Cholestase ancienne : (épisodes récurrents d’ictère depuis quelques années)
1.	Cholangite biliaire primitive :
1.	Destrucation inflammatoire progressive des canaux biliaires inter-lobulaires
2.	Biologie : Positivité des Ac anti-mitochondrie de type M2
2.	Granulomatose hépatique :
1.	Infections bactériennes :
1.	Tuberculose
2.	Lèpre
2.	Infections fongiques :
1.	Candidose systémique
3.	Infections parasitaires
1.	Ascaridiose 
4.	Médicaments (chimiothérapie)
5.	Sarcoïdose
6.	Vascularites :
1.	Maladie de Horton (personnes âgées, céphalées intenses par sténose de l’artère temporale + claudication intermittente de la mâchoire -> biopsie de l’artère temporale)
2.	Périartérite noueuse
7.	Maladie de Hodgkin

5.	ICTERE A BILIRUBINEMIE CONJUGUEE GENETIQUE
1.	Maladie de Dubin Johnson :
1.	Maladie génétique liée à une anomalie du transporteur ABCC2
2.	Clinique :
1.	Normal sauf ictère modéré
3.	Biologie :
1.	Hyperbilirubinémie conjuguée

4.	Elément caractéristique :
1.	Anomalie de l’élimination de BSP  : 
1.	Après ingestion de BSP :
2.	Courbe normal jusqu’à la 30ème minute
3.	A la 50è minute : la courbe remonte (pas d’élimination dans les canalicules)
4.	Régurgitation de BSP dans le sang sus-hépatique
2.	Laparoscopie : Foie noirâtre, PBF : fragments noirâtres
1.	Maladie bénigne : avec un bon pec, ne tue pas

2.	Maladie de Rotor :
1.	Mutation avec inactivation de OATP1
1.	Bilirubinémie totale augmentée :
1.	Essentiellement bilirubine conjuguée, mais également la bilirubine non conjuguée
2.	Différence par rapport à Dubin-Jonson :
1.	Absence de coloration noire des hépatocytes
2.	Courbe BSP ralentie et non suivie de remontée de la concentration sanguine du colorant
Résumé :
1.	Ictère
1.	Confirmation : regarder les yeux et sous la langue
2.	Confirmation biologique : élévation de la bilirubine
1.	Libre
1.	Hémolyse (HB, dosage de l’haptoglobine : effondrée en cas d’hémolyse)
2.	Maladie de Gilbert
3.	Maladie de Crigler Najjar
2.	Conjuguée : cholestase -> Echographie
1.	Dilatation des voies biliaires : = obstacle extra-hépatique -> cas chirurgicaux
1.	Cause extra-luminale : cancer de la tête du pancréas
2.	Pariétale 
3.	Intraluminale : lithiase cholédocienne
2.	Pas de dilatation des voies biliaires 
1.	Données de l’échographie
2.	Ancienneté de l’HDM
1.	Ictère récente : hépatite
2.	Ictère ancienne : granulomatose, maladies génétiques, cholangite biliaire primitive
3.	
