"question","answer","explanation","difficulty"
"Le granulome épithélioïde avec nécrose caséeuse est typique de la maladie de Crohn.","False","Sans nécrose caséeuse (la nécrose caséeuse est typique de la tuberculose).","Medium"
"La maladie de Crohn peut se compliquer d'un cancer colorectal.","True","Document.","Medium"
"Le syndrome de Koenig est dû à une sténose.","True","Document.","Medium"
"Les fistules entéro-vésicales sont possibles dans la maladie de Crohn.","True","Document.","Medium"
"La malabsorption est une complication de la maladie de Crohn.","True","Document.","Medium"
"La perforation digestive est une complication grave.","True","Document.","Medium"
"L'hémorragie digestive peut compliquer la maladie de Crohn.","True","Document.","Medium"
"Le score CDEIS est un score endoscopique.","True","Document.","Medium"
"Le score de Rutgeerts est un score post-opératoire.","True","Document.","Medium"
"L'atteinte de la muqueuse est superficielle dans la maladie de Crohn.","False","Atteinte transmurale.","Medium"
"La rectocolite hémorragique (RCH) est un diagnostic différentiel de la maladie de Crohn colique.","True","Document.","Medium"
"La tuberculose iléo-caecale est un diagnostic différentiel.","True","Document.","Medium"
"Les colites ischémiques sont un diagnostic différentiel.","True","Document.","Medium"
"Les colites microscopiques se diagnostiquent par biopsie étagée (muqueuse saine à l'endoscopie).","True","Document.","Medium"
"Les colites radiques sont dues à la radiothérapie.","True","Document.","Medium"
"L'index HBI évalue la douleur abdominale de 0 à 3.","True","Document.","Medium"
"La masse abdominale dans l'HBI est cotée de 0 à 3.","True","Document.","Medium"
"Le bien-être général dans l'HBI est coté de 0 à 4.","True","Document.","Medium"
"Le nombre de selles liquides par jour est un critère de l'HBI.","True","Document.","Medium"
"Les manifestations extra-digestives dans l'HBI comptent 1 point par item.","True","Document.","Medium"
"Un score HBI entre 4 et 8 correspond à une activité minime.","True","Document.","Medium"
"Un score HBI > 12 correspond à une activité sévère.","True","Document.","Medium"
"Le CDAI utilise l'hématocrite comme critère.","True","Document.","Medium"
"Le CDAI utilise le poids actuel/poids théorique.","True","Document.","Medium"
"Le CDAI utilise la prise d'anti-diarrhéique comme critère.","True","Document.","Medium"
"Le facteur multiplicatif du bien-être général dans le CDAI est *6.","True","Document.","Medium"
"Le facteur multiplicatif des manifestations extra-digestives dans le CDAI est *30.","True","Document.","Medium"
"Le facteur multiplicatif de la masse abdominale dans le CDAI est *10.","True","Document.","Medium"
"Le facteur multiplicatif de la douleur abdominale dans le CDAI est *6.","True","Document.","Medium"
"Le facteur multiplicatif de l'hématocrite est *6.","True","Document.","Medium"
"Le facteur multiplicatif des selles liquides est *2.","True","Document.","Medium"
"Le facteur multiplicatif de la prise d'anti-diarrhéique est *4.","True","Document.","Medium"
"Le facteur multiplicatif du poids est *100.","True","Document.","Medium"
"Un score CDAI entre 150 et 250 définit une maladie active.","True","Document.","Medium"
"Un score CDAI > 250 définit une maladie sévère.","True","Document.","Medium"
"La maladie de Crohn peut être guérie définitivement par traitement médical.","False","Maladie auto-entretenue, non guérie.","Difficult"
"La mutation CARD15 est absente chez les sujets sains.","False","Présente chez 10% des sujets sains.","Difficult"
"Le tabagisme passif n'a pas d'effet.","Non précisé.","Difficult"
"L'atteinte œsophagienne est fréquente.","Non précisé, mais 'tout le tractus' possible.","Difficult"
"Le traitement anti-TNF alpha est indiqué dans les formes sévères.","Non détaillé.","Difficult"
"La chirurgie est curative.","Non, récidive fréquente.","Difficult"
"La maladie de Crohn n'atteint pas l'estomac.","Faux, peut atteindre tout le tube digestif.","Difficult"
"L'atteinte anale est rare.","Faux, fréquente (LAP).","Difficult"
"La VS est toujours normale.","Faux, souvent augmentée.","Difficult"
"L'index HBI est plus précis que le CDAI.","Non comparé.","Difficult"
"Le score de Rutgeerts est utilisé pour évaluer la réponse au traitement.","Non précisé.","Difficult"
"La maladie de Crohn est plus fréquente chez les hommes.","Non précisé (peut être légère prédominance féminine).","Difficult"
