"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel est l'aspect des hématies dans le SHU ?","Sphérocytes","Schizocytes (hématies en coquilles d'œuf)","Drépanocytes","Cellules ciblées","2","Document: 'présence de schizocytes (hématies en coquilles d’oeuf)'","Easy"
"Quel est le premier organe atteint dans le SHU ?","Cerveau","Rein","Cœur","Poumon","2","Document: 'REIN+++ (1ère cause d’IRA organique < 3ans)'","Easy"
"Quel est le traitement de l'hyperkaliémie dans le SHU ?","Transfusion plaquettaire","Résines échangeuses de potassium et salbutamol","Dialyse péritonéale d'emblée","Apport potassique","2","Document: 'Résines échangeuses de potassium, salbutamol : pour corriger l’hyperkaliémie'","Easy"
"Quelle est l'indication de transfusion de culot globulaire dans le SHU ?","Taux d'Hb < 6 g/dl","Taux d'Hb < 8 g/dl","Taux d'Hb < 10 g/dl","Taux d'Hb < 12 g/dl","2","Document: 'Transfusion de culot globulaire : taux d’Hb < 8g/dl'","Easy"
"Quelle est la durée de l'anurie dans le SHU typique ?","Quelques jours","1 à 2 semaines","1 mois","Plus de 2 mois","2","Document: 'Anurie : dure 1 à 2 semaines'","Easy"
"Quel est le taux d'évolution vers l'insuffisance rénale terminale après SHU ?","1-2%","5-10%","15-20%","25-30%","2","Document: 'Évolution vers l’insuffisance rénale terminale : 5 à 10%'","Easy"
"Quel est le traitement de première intention de l'insuffisance rénale aiguë anurique dans le SHU ?","Dialyse péritonéale","Hémodialyse","Transfusion","Antihypertenseurs","1","Document: 'Épuration extra-rénale : dialyse péritonéale ; indications : anurie'","Medium"
"Quel est le germe le plus souvent responsable du SHU post-diarrhéique ?","Escherichia coli O157:H7","Shigella dysenteriae","Streptococcus pneumoniae","Salmonella","1","Document: 'Escherichia coli sérotype 0157 : H7 sécréteur de vérotoxines ou shiga-like toxine (STEC)'","Medium"
"Quelle est la particularité du SHU atypique par rapport au SHU typique ?","Absence de diarrhée prodromique","Âge toujours inférieur à 3 ans","Toujours secondaire à une infection","Évolution monophasique","1","Document: 'SHU atypique : Pas de diarrhée prodromique'","Medium"
"Quelle est la caractéristique du SHU atypique sur le plan familial ?","Toujours sporadique","Coexistence de plusieurs cas dans une même famille","Lié à une consanguinité","Non héréditaire","2","Document: 'Caractère familial : coexistence de plusieurs cas dans une même famille'","Medium"
"Quel est le pronostic du SHU atypique ?","Excellent","Très réservé","Identique au SHU typique","Guérison spontanée","2","Document: 'Pronostic très réservé'","Medium"
"Quelle drogue peut être responsable d'un SHU secondaire ?","Paracétamol","Ciclosporine","Amoxicilline","Ibuprofène","2","Document: 'Différentes drogues : ciclosporine, ticlopidine'","Medium"
"Quel est le traitement de la thrombopénie sévère avec syndrome hémorragique ?","Transfusion de culot globulaire","Transfusion de plaquettes","Dialyse","Corticoïdes","2","Document: 'Transfusion de plaquette : syndrome hémorragique ou geste chirurgical programmé'","Medium"
"Quelle est la restriction hydrique recommandée dans l'insuffisance rénale aiguë du SHU ?","20 ml/kg/j + diurèse","40 ml/kg/j","Libre","10 ml/kg/j","1","Document: 'Restriction hydrique : 20 ml/kg/j + diurèse'","Medium"
"Quelle est la restriction sodée recommandée ?","0,5 mmol/kg/j","1 mmol/kg/j","2 mmol/kg/j","Sans restriction","1","Document: 'Restriction sodée : 0,5 mmol/kg/j'","Medium"
"Quelle est la restriction potassique recommandée ?","0,5 mmol/kg/j","1 mmol/kg/j","2 mmol/kg/j","Sans restriction","2","Document: 'Restriction potassique : 1mmol/kg/j'","Medium"
"Quel examen doit être surveillé quotidiennement pour détecter une hyperkaliémie ?","ECG","Échographie cardiaque","Radiographie pulmonaire","IRM cérébrale","1","Document: 'ECG (troubles ioniques redoutés : hyperkaliémie IR)'","Medium"
"Quelle est la durée recommandée de surveillance à long terme après un SHU ?","6 mois","1 an","3 à 5 ans","10 ans","3","Document: 'À long terme : systématique pendant 3 à 5 ans (car récidive fréquente, séquelles ?)'","Medium"
"Quel est le pourcentage d'enfants qui présentent une HTA, IRC ou protéinurie chronique après 15 ans ?","Moins de 10%","Environ 15%","Plus de 1/3","Plus de 50%","3","Document: 'Après 15 ans, plus de 1/3 des enfants présenteront : HTA, IRC, protéinurie chronique'","Medium"
"Quelle est l'indication de l'échange plasmatique avec PFC dans le SHU ?","Anémie sévère","Thrombopénie sévère","Hyperkaliémie","Hypertension maligne","2","Document: 'Échange plasmatique avec PFC en cas de thrombopénie sévère'","Medium"
"Quel est le traitement préventif non pharmacologique du SHU typique ?","Antibiothérapie systématique","Vaccination","Respect des règles d'hygiène alimentaire (viandes cuites, laits pasteurisés)","Isolement","3","Document: 'TRAITEMENT PREVENTIF : Respect des règles d’abattage ; Consommation : viandes bien cuites, laits pasteurisés ; Mesures simples d’hygiène alimentaire'","Medium"
"L'antibiothérapie est-elle systématique dans le SHU typique ?","Oui, toujours","Non, pas d'antibiothérapie systématique","Uniquement en cas de fièvre","Uniquement si thrombopénie","2","Document: 'Pas d’antibiothérapie systématique'","Medium"
"Quelle est la durée de l'hémolyse et de la thrombopénie dans le SHU typique sous traitement ?","Moins de 7 jours","Moins de 15 jours","1 mois","2 mois","2","Document: 'Hémolyse et thrombopénie corrigés en moins de 15j'","Medium"
"Quel est le risque de récidive du SHU atypique ?","Nul","Fréquent (poussées multiples)","Exceptionnel","Uniquement après réinfection","2","Document: 'Évolution par poussées multiples'","Medium"
"Un enfant de 2 ans présente une diarrhée glairo-sanguinolente depuis 5 jours, puis une pâleur, une oligurie. Quel diagnostic suspecter ?","Gastro-entérite déshydratante","SHU post-diarrhéique","Purpura thrombopénique","Syndrome néphrotique","2","Document: Phase prodromique puis triade","Difficult"
"Quel est le mécanisme de l'anémie dans le SHU ?","Destruction mécanique des GR par les microthrombus","Carence en fer","Hémolyse immunologique","Saignement digestif","1","Document: 'Destruction mécanique des globules rouges'","Difficult"
"Quelle est l'atteinte extrarénale la plus fréquente dans le SHU ?","Neurologique","Cardiaque","Hépatique","Pancréatique","1","Document: 'Neurologique : convulsion, trouble de la conscience'","Difficult"
"Un enfant a un SHU post-diarrhéique avec anurie depuis 48h, créatinine à 350 µmol/L, hyperkaliémie à 6,5 mmol/L. Quelle est la prise en charge immédiate ?","Dialyse péritonéale en urgence","Résine échangeuse + salbutamol + surveillance","Transfusion plaquettaire","Antibiothérapie","1","Document: 'Indications épuration extra-rénale : Hyperkaliémie >6mmol/L'","Difficult"
"Quel est le risque de l'administration d'antibiotiques dans le SHU post-diarrhéique ?","Aggravation de l'insuffisance rénale","Augmentation de la libération de Shigatoxines","Allergie","Aucun risque","2","Document: 'Pas d’antibiothérapie systématique' (car peut augmenter la toxine)","Difficult"
"Un nouveau-né présente un SHU sans diarrhée, avec antécédent familial de SHU. Quel diagnostic ?","SHU post-diarrhéique","SHU atypique héréditaire","SHU secondaire à une infection","Purpura thrombopénique","2","Document: 'SHU atypique : Âge variable (nouveau-né), caractère familial, pas de diarrhée'","Difficult"
"Quelle est la prise en charge d'un SHU secondaire à une infection à pneumocoque ?","Antibiothérapie + échanges plasmatiques","Corticoïdes","Immunoglobulines","Transfusion de plasma","1","Document: 'SHU secondaire : À des infections sévères à Streptococcus pneumoniae' (traitement spécifique non détaillé mais logique)","Difficult"
"Quelle est la mesure de restriction hydrique chez un enfant de 10 kg anurique ?","200 ml/j + diurèse","200 ml/j (20 ml/kg) + diurèse (0) = 200 ml/j","300 ml/j","400 ml/j","2","Document: 'Restriction hydrique : 20 ml/kg/j + diurèse'","Medium"
"Quel est le traitement de l'hypertension artérielle dans le SHU ?","Antihypertenseurs","Restriction hydrique seule","Dialyse","Diurétiques","1","Document: 'Antihypertenseurs'","Medium"
"Quelle est la surveillance paraclinique quotidienne recommandée ?","NFS, ionogramme, urée, créatinine, calcémie, phosphorémie, gaz du sang","Échographie rénale","IRM cérébrale","Bilan hépatique","1","Document: 'Paraclinique : quotidien : ECG, NFS, Ionogramme sanguin, urée sanguine, créatinine, Calcémie, Phosphorémie, gaz du sang'","Medium"
"Quel est le suivi à long terme recommandé après un SHU ?","Pression artérielle, protéinurie, créatininémie","Échographie rénale","Bilan immunologique","Dosage des facteurs du complément","1","Document: 'À long terme : Pression artérielle, Protéinurie, Créatininémie/an'","Medium"
"Quel est le pronostic vital du SHU multiviscéral ?","Excellent","Souvent favorable","Mis en jeu","Toujours fatal","3","Document: 'Le pronostic vital est mis en jeu dans la forme multiviscérale'","Difficult"
"Un enfant de 4 ans a un SHU. La créatininémie est à 400 µmol/L, il est anurique depuis 24h. Quelle est l'indication de dialyse ?","Oui, car créatininémie >300-400 et anurie","Non, attendre 48h","Non, traiter médicalement","Dialyse uniquement si hyperkaliémie","1","Document: 'Indications épuration extra-rénale : Créatininémie à 300-400µmol/L ; Anurie'","Difficult"
