"term","definition","contextual_explanation"
"EEG","Electroencéphalogramme.","Examen clé dans les premières 48h. Un tracé plat indique une absence d'activité cérébrale. L'EEG d'amplitude est également mentionné."
"potentiels évoqués","Explorations fonctionnelles des voies nerveuses (visuels, auditifs, somesthésiques).","Utilisés dans le bilan de l'asphyxie périnatale."
"Doppler pulsé transcrânien","Examen échographique Doppler des vaisseaux cérébraux.","Utilisé dans l'exploration de l'asphyxie."
"ETF","Echographie transfontanellaire.","Examen d'imagerie cérébrale chez le nouveau-né."
"IRM","Imagerie par résonance magnétique.","Examen de référence pour les lésions cérébrales post-asphyxiques (bonne VPP et VPN)."
"hématome rétro placentaire (HRP)","Décollement placentaire avec hématome rétro-placentaire.","Situation obstétricale à risque d'asphyxie périnatale."
"compressions funiculaires","Compression du cordon ombilical.","Cause obstétricale d'asphyxie."
"rupture utérine","Déchirure de la paroi utérine.","Urgence obstétricale grave pouvant entraîner une asphyxie périnatale."
"dystocies sévères","Difficultés mécaniques de l'accouchement.","Peuvent provoquer une asphyxie."
"dysfonctions placentaires","Anomalies du fonctionnement placentaire (post-maturité, prééclampsie).","Entraînent une altération des échanges fœto-maternels gazeux, pouvant aboutir à une asphyxie."
"syndrome de Benkiser","Hémorragie fœtale probablement liée à une transfusion fœto-maternelle.","Cause d'asphyxie périnatale."
"transfusion fœto-maternelle","Passage de sang fœtal dans la circulation maternelle.","Peut entraîner une anémie et une asphyxie fœtale."
"défaillances organiques précoces","Atteintes multiviscérales survenant tôt après l'asphyxie (60% des cas).","Touchent l'endothélium, le rein, le myocarde, le poumon, le foie, le tube digestif, la peau."
"paralysies cérébrales","Troubles moteurs chroniques d'origine cérébrale.","Séquelles neurologiques de l'asphyxie périnatale (15-25% des cas)."
"CPN","Consultation prénatale.","Moyen préventif essentiel : bonne CPN et suivi de grossesse pour réduire le risque d'asphyxie."
"RCF","Rythme cardiaque fœtal.","Ses anomalies (modérées prolongées ou sévères) sont un critère de gravité."
"hyperoxie","Excès d'oxygène dans les tissus.","À éviter dans la prise en charge de l'asphyxie."
"hypocapnie","Diminution anormale du CO2 sanguin (par hyperventilation).","À éviter car néfaste pour le cerveau asphyxique."
"hyperthermie","Élévation de la température corporelle.","Accélère l'apoptose (mort cellulaire programmée) et doit être évitée."
"apoptose","Mort cellulaire programmée.","Accélérée par l'hyperthermie dans le contexte post-asphyxique."
"stimulations nociceptives","Stimulations douloureuses.","À éviter chez le nouveau-né asphyxié."
"anticonvulsivants","Médicaments contre les convulsions (phénobarbital, diazépam).","Ne pas utiliser sans assistance respiratoire (risque d'hypoventilation). Le diazépam n'est pas utilisé faute d'assistance respiratoire."
"allopurinol","Médicament inhibiteur de la xanthine oxydase.","Utilisé pour lutter contre les radicaux libres dans l'asphyxie."
"antagonistes du glutamate","Molécules bloquant les récepteurs du glutamate.","Mesure spécifique pour limiter l'excitotoxicité cérébrale."
"inhibiteurs calciques","Médicaments bloquant les canaux calciques.","Utilisés dans la prise en charge de l'asphyxie."
"analgésie systématique","Traitement de la douleur administré de façon systématique.","Nécessaire pendant l'hypothermie contrôlée."
"état de mal convulsif","Crise convulsive prolongée ou crises répétées sans reprise de conscience.","Au-delà de 48 heures, pronostic très réservé."
"noyaux gris centraux","Structures profondes du cerveau (thalamus, striatum, globus pallidus).","Leurs lésions sont de mauvais pronostic."
"lésions cortico-sous-corticales","Atteintes du cortex cérébral et de la substance blanche sous-corticale.","Associées à un pronostic très réservé."
"INBP","Infection néonatale bactérienne précoce.","Principal diagnostic différentiel de l'asphyxie périnatale."
