ASPHYXIE PERINATALE
Objectifs
2.	Convulsions : anticonvulsivants (Phénobarbital ou diazépam (non utilisé faute d’assistance respi)
3.	Lutte contre les radicaux libres : allopurinol
4.	Antagonistes du Glutamate
5.	Inhibiteurs calciques

4.	Hypothermie contrôlée +++
1.	Température de l’enfant est abaissée entre 33 et 34°C et maintenue à ce niveau pendant 72h
2.	Analgésie systématique est nécessaire
3.	Avant la 6ème heure
4.	Pour éviter l’installation des séquelles neurologiques
5.	Critères d’adhésion :
 


PRONOSTIC
Dépend de 03 éléments :
1.	Clinique : présence et gravité de l’encéphalopathie post asphyxique
1.	Bon si Asphyxie sans Encéphalopathie ou Asphyxie + encéphalopathie légère
2.	Mauvais si Encéphalopathie modérée ou sévère
2.	Examens électrophysiologiques : EEG ++++ (avant H24, dans les premières 48h soit répété soit continue) (tracé plat = 0 activité cérébrale
3.	Imagerie : IRM+++

NB : autres examens : EEG d’amplitude ou les potentiels évoqués (auditifs ou somesthésiques)
1.	Encéphalopathie post asphyxique : conséquences à long terme (PC)
2.	Etat de mal convulsif à plus de 48h : pronostic très réservé
3.	Lésions des noyaux gris centraux
4.	Lésions cortico-sous corticales

 

CONCLUSION
1.	3ème cause de mortalité après les infections néonatales et prématurités
2.	Asphyxie n’est pas synonyme d’encéphalopathie
3.	Présence d’encéphalopathie : pronostic neurologique
4.	Mise en jeu du pronostic vital
5.	HYPOTHERMIE CONTROLEE afin d’éviter le plus possible les séquelles neurologiques


