"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelles sont les trois maladies de système citées comme causes d’OACR ?","Lupus érythémateux disséminé, maladie de Wegener, maladie de Takayasu","Maladie de Horton, polyarthrite rhumatoïde, sclérodermie","Sarcoïdose, Behçet, Gougerot-Sjögren","Churg-Strauss, Kawasaki, Horton","1","Le document liste : Lupus, Wegener, Takayasu, Kawasaki, Churg et Strauss.","Medium"
"Quels sont les trois déficits congénitaux en protéine inhibitrice de la coagulation cités ?","Protéine C, protéine S, antithrombine III","Facteur VIII, facteur IX, facteur XI","Protéine Z, thrombomoduline, plasminogène","Fibrinogène, facteur VII, facteur XII","1","Le document cite : « Déficits congénitaux en protéine inhibitrice de la coagulation (protéine C, S, antithrombine III) ».","Medium"
"Quel traitement est indiqué en cas de trouble de la coagulation responsable d’OACR ?","Antiagrégants","Anticoagulant","Corticothérapie","Fibrinolyse","2","Le document précise : « Trouble de la coagulation : anticoagulant ».","Medium"
"Quel est le traitement symptomatique de l’OACR pouvant mobiliser l’embole ?","Massage oculaire (pression - dépression)","Ponction de chambre antérieure","Acétazolamide","Fibrinolyse in situ","1","Le document mentionne : « Massage oculaire (pression - dépression -> mobilisation de l’embole) ».","Medium"
"Quel est le délai de survenue du glaucome néovasculaire après OACR ?","1 à 15 jours","1 à 15 semaines","1 à 15 mois","1 à 15 heures","2","Le document précise : « glaucome néovasculaire : 15 - 20% ; 1 à 15 semaine ».","Medium"
"Quel est l’aspect du fond d’œil dans l’occlusion d’une branche de l’ACR ?","Œdème rétinien et rétrécissement artériel localisés au territoire rétinien correspondant","Œdème blanc rétinien total","Macula rouge cerise","Hémorragie en flammèche","1","Le document décrit cette forme clinique.","Medium"
"Quels sont les six diagnostics différentiels de l’OACR cités dans le document ?","OVCR, décollement total de rétine, hémorragie du vitré, névrite optique aiguë, ischémie aiguë de la tête du nerf optique, maculopathie aiguë","Glaucome aigu, cataracte, DMLA, rétinopathie diabétique","Kératite, uvéite, sclérite, conjonctivite","Décollement postérieur du vitré, myodésopsies, photopsies","1","Le document liste ces six diagnostics différentiels.","Medium"
"Pourquoi l’OACR est-elle considérée comme une urgence ophtalmologique et médicale équivalente d’un AVC ?","Parce qu’elle est indolore","Parce qu’elle traduit une pathologie grave sous-jacente, menace la vue et menace la vie (risque d’AVC)","Parce qu’elle donne une macula rouge cerise","Parce qu’elle survient chez le sujet jeune","2","Le document précise dans les intérêts : menace la vue et la vie (risque d’AVC).","Medium"
"Un patient de 55 ans présente une BAV brutale indolore de l’œil droit. Le fond d’œil montre un œdème blanc rétinien avec macula rouge cerise. Quel est le diagnostic et quel est le délai thérapeutique maximal pour espérer une récupération ?","OACR. Délai maximal pour récupération : 90 minutes (lésions irréversibles après 90 minutes)","Décollement de rétine – urgence 24h","Glaucome aigu – 12h","Névrite optique – 7 jours","1","Document : lésions définitives en 90 minutes.","Difficult"
"Pourquoi la VS et la CRP sont-elles demandées en urgence devant une OACR chez un patient de plus de 50 ans ?","Pour rechercher une maladie de Horton, dont le traitement urgent par corticothérapie peut éviter la bilatéralisation et les complications générales","Pour rechercher une endocardite","Pour rechercher un lupus","Pour rechercher une drépanocytose","1","Document : Horton +++, VS élevée.","Difficult"
"Un patient avec OACR a une acuité visuelle conservée malgré l’occlusion. Quel mécanisme anatomique explique cette présentation ?","Présence d’une artère ciliorétinienne à destinée maculaire (issue de l’artère ciliaire courte postérieure) qui irrigue la macula indépendamment de l’ACR","Présence d’une circulation collatérale efficace","Occlusion incomplète","Atteinte controlatérale compensatrice","1","Document : OACR avec artère ciliorétinienne à destinée maculaire donne acuité conservée.","Difficult"
"Quel est le risque vital de l’athérome carotidien compliqué d’OACR ?","Risque d’AVC (accident vasculaire cérébral) ischémique par embolie ou thrombose carotidienne","Risque d’anévrisme aortique","Risque d’embolie pulmonaire","Risque d’infarctus du myocarde","1","Document : « athérome carotidien +++ (constitue un risque majeur d’AVC) ».","Difficult"
"Quel est le traitement de fond proposé dans tous les cas d’OACR quelle que soit l’étiologie ?","Corticothérapie","Antiagrégant plaquettaire (aspirine) dans tous les cas","Anticoagulant","Fibrinolyse","2","Le document indique : « Antiagrégant plaquettaire (aspirine) dans tous les cas ».","Difficult"
"Un patient de 25 ans, sans facteur de risque, présente une OACR. Quel bilan étiologique spécifique doit être réalisé en priorité ?","Recherche de trouble de la coagulation (protéine C, S, antithrombine III, mutation facteur V, résistance à la protéine C activée), contraception orale, drépanocytose, homocystéinurie","Recherche d’athérome carotidien","Recherche de maladie de Horton","Recherche d’embolie cardiaque","1","Document : « Troubles de la coagulation (jeune +++) ».","Difficult"
"Pourquoi la fibrinolyse in situ est-elle rarement réalisée dans l’OACR ?","Parce qu’elle est inefficace","Parce que le délai diagnostique est souvent supérieur à 90 minutes, que la procédure est invasive et que le risque hémorragique est élevé","Parce qu’elle est non remboursée","Parce qu’il existe des alternatives orales","2","Document : délai de 90 minutes pour lésions définitives ; diagnostic souvent tardif.","Difficult"
