question, option1, option2, option3, option4, answer, explanation, difficulty
"Expliquez pourquoi la lenteur de la dilatation cervicale ne doit pas être systématiquement attribuée à la présentation par le siège.", "Car la présentation par le siège accélère toujours la dilatation", "Car il faut distinguer dystocie dynamique ou mécanique", "Car la dilatation est toujours normale", "Car seul le siège complet ralentit la dilatation", "2", "Le document : 'La lenteur de la dilatation ne doit pas être considéré comme une conséquence de la présentation : dystocie dynamique ? ou mécanique ?'", "Medium"
"Comment se déroule la rotation du diamètre bi-acromial dans l'excavation ?", "Il reste fixe", "Il passe dans l'oblique du détroit inférieur", "Il devient antéro-postérieur", "Il suit le diamètre transverse", "2", "Le document : 'Deuxième rotation amenant le diamètre bi-acromial dans le diamètre oblique du détroit inférieur'", "Medium"
"Que se passe-t-il lorsque la tête fléchit et pivote autour de la symphyse pubienne ?", "L'occiput reste en arrière", "Le menton, la face, le front puis le crâne se dégagent au niveau de la commissure postérieure", "La tête se réengage", "Le diamètre bipariétal se modifie", "2", "Le document décrit exactement ce mécanisme de dégagement cephalique", "Medium"
"Quelle est la conséquence d'une déflexion de la tête foetale lors de l'accouchement par le siège ?", "Accélération de la sortie", "Rétention de la tête dernière", "Fracture du crâne", "Procidence du cordon", "2", "Le document : 'Rétention de la tête dernière (en cas de déflexion de la tête foetale)'", "Medium"
"Quel type d'anomalie mécanique peut survenir lors de l'expulsion en présentation par le siège ?", "Anencéphalie", "Relèvement des bras", "Circulaire du cordon", "Placenta praevia", "2", "Le document liste : 'Relèvement du bras' comme anomalie mécanique", "Medium"
"Pourquoi le pronostic de la procidence du cordon est-il meilleur dans le siège que dans les présentations céphaliques ?", "Car le siège est plus petit", "Car le cordon est plus long", "Car la tête ne comprime pas directement le cordon", "Car l'expulsion est plus rapide", "3", "Le document : 'Meilleur pronostic que dans les présentations céphaliques (PC)' sans expliciter, mais implication clinique = moins de compression céphalique", "Medium"
"Comment corrige-t-on une dystocie dynamique par dilatation incomplète ?", "Arrêter le travail", "Augmenter la dose d'ocytocine", "Pratiquer une césarienne", "Appliquer des spatules", "2", "Le document : 'Dilatation incomplète (augmenter la dose d'ocytocine)'", "Medium"
"Quelle déformation plastique peut entraîner un pied bot varus équin ?", "Compression crânienne", "Atrophie musculaire, osseuse, ligamentaire", "Lésion du nerf sciatique", "Malposition utérine", "2", "Le document : 'Atrophie : muscle, os, ligament (pied bot varus équin)'", "Medium"
"Quelle lésion génitale peut survenir chez les filles lors d'un accouchement par le siège décomplété ?", "Déchirure vaginale", "Hématomes des petites lèvres", "Fistule vésico-vaginale", "Élongation clitoridienne", "2", "Le document : 'hématomes des petites lèvres chez les filles' en cas de siège décomplété", "Medium"
"Quand se produit l'enroulement autour de la symphyse pubienne lors de l'accouchement du siège ?", "Avant l'engagement", "Juste avant le dégagement du siège", "Après la sortie de la tête", "Pendant l'engagement des épaules", "2", "Le document : 'Dégagement précédé d'un enroulement autour de la symphyse pubienne amenant le dos franchement en avant'", "Medium"
"Quel est l'objectif de la flexion du tronc et de la tête lors du mécanisme d'accouchement par le siège ?", "Augmenter le volume foetal", "Faire rentrer la tête dans les épaules", "Faciliter la rotation externe", "Diminuer la présentation", "2", "Le document : 'Flexion du tronc et de la tête qui tend à rentrer dans les épaules'", "Medium"
"Comment se fait le dégagement des bras et des épaules ?", "Dans le diamètre antéro-postérieur", "Successivement dans le diamètre transverse", "Simultanément par rotation", "Par flexion forcée", "2", "Le document : 'Dégagement des bras et des épaules se fait successivement dans le diamètre transverse'", "Medium"
"Quelle attitude foetale permet d'aborder le détroit supérieur avec le diamètre sous-occipito-frontal de 11cm ?", "Déflexion", "Flexion", "Hyperextension", "Inclinaison latérale", "2", "Le document : 'Flexion abordant le détroit supérieur suivant le diamètre sous-occiputo-frontal'", "Medium"
"Expliquez le mécanisme conduisant à une luxation congénitale de la hanche lors d'une présentation par le siège.", "Rebord cotyloïdien déformé par pression utérine durant la grossesse", "Luxation à l'engagement du siège", "Malposition des membres inférieurs", "Défaut d'acétylisation", "1", "Le document : 'Rebord cotyloïdien (luxation congénitale de la hanche)' parmi phénomènes plastiques", "Difficult"
"Décrivez la cascade mécanique conduisant à une dystocie par relèvement des bras lors de l'accouchement par le siège.", "Le mobile foetal n'est pas un bloc homogène car les bras se relèvent", "La tête fléchit trop tard", "Le diamètre bi-acromial est trop grand", "La rotation ne se fait pas", "1", "Le document : relèvement des bras car a touché les fesses – le bras touche la filière avant les épaules si défaut d'accollement", "Difficult"
"Quelle séquence d'engagement des différents segments foetaux explique la meilleure tolérance de la procidence du cordon dans le siège ?", "Tête puis épaules puis siège", "Siège puis épaules puis tête, la tête n'écrase pas d'emblée le cordon", "Cordon sort en premier", "Cordon toujours protégé par les membranes", "2", "Implication clinique du document : tête dernière → moins de compression funiculaire précoce", "Difficult"
"Pourquoi une déflexion de la tête foetale après sortie du tronc peut-elle être fatale si non corrigée ?", "La tête défléchie augmente son diamètre et ne peut franchir le détroit", "Le cordon se rompt", "Les épaules se coincent", "Le siège se réengage", "1", "Document : 'Rétention de la tête dernière (en cas de déflexion) → fléchir la tête pour sortir le foetus' – implication mécanique directe", "Difficult"
