"term","definition","contextual_explanation"
"réflexe d'éjection","Contraction des cellules myoépithéliales sous l'effet de l'ocytocine.","Essentiel à l'extraction du lait, inhibé par le stress."
"lactose","Glucide principal du lait maternel (7%).","Constitué de glucose + galactose. Fournit 40% des besoins énergétiques, participe au développement du SNC, favorise l'absorption du fer et du calcium."
"oligosaccharides","Glucides complexes du lait maternel.","Participent à l'élaboration des bifidobactéries (rôle protecteur antibactérien). Favorisent la prolifération des bifidobactéries. Non produits artificiellement."
"bifidobactéries","Bactéries probiotiques du microbiote intestinal.","Favorisées par les oligosaccharides du lait maternel, elles préviennent les infections et allergies."
"triglycérides à chaîne moyenne (TCM)","Lipides à chaîne carbonée moyenne.","Présents dans le lait maternel, incluent les oméga 3 (DHA) et oméga 6 (acide arachidonique). Rôle dans le développement cognitif."
"acides gras essentiels","Acides gras que l'organisme ne peut synthétiser.","Présents en fin de tétée. Indispensables pour la croissance et le développement nerveux."
"lipase du lait maternel","Enzyme digestive des lipides.","Absente du lait de vache, elle permet la digestion des acides gras."
"caséine","Fraction protéique du lait formant le caillé.","Dans le lait maternel, elle est facilement digérée (contrairement à celle du lait de vache). Elle empêche l'adhésion des bactéries et virus."
"lactosérum","Fraction protéique du lait correspondant au petit lait.","Contient acides aminés, enzymes (lipase, lactase), IgA, α-lactalbumine, lysozyme, lactoferrine, peu de β-lactoglobuline."
"α-lactalbumine","Protéine du lactosérum.","Entre dans la fabrication du lactose."
"lysozyme","Enzyme antibactérienne.","Présente dans le lactosérum, détruit les bactéries."
"lactoferrine","Protéine de transport du fer.","Présente dans le lait maternel, a un effet anti-inflammatoire (blocage de l'activité des cytokines)."
"β-lactoglobuline","Protéine allergisante du lait de vache.","Peu présente dans le lait maternel."
"macrophages","Cellules immunitaires.","Dans le lait maternel, ils assurent la phagocytose et destruction des bactéries, produisent du complément (C3, C4), sécrètent lysozyme et lactoferrine."
"leucocytes PNN","Polynucléaires neutrophiles.","Composants cellulaires du lait maternel."
"lymphocytes B et T","Cellules de l'immunité adaptative.","Les B synthétisent les immunoglobulines, les T sont produits au niveau du thymus."
"lactobacillus","Bactérie probiotique.","Favorise la croissance de lactobifidus (effet probiotique)."
"IgA","Immunoglobulines A.","Représentent 80% des anticorps du lait maternel, 10 fois plus dans le colostrum. Empêchent les bactéries pathogènes de s'attacher au niveau intestinal. Produites par le système MALT (cycle entéro-mammaire)."
"MALT","Mucosa-Associated Lymphoid Tissue (tissu lymphoïde associé aux muqueuses).","Cycle entéro-mammaire : les plasmocytes intestinaux migrent vers la glande mammaire pour y sécréter des IgA."
"cytokines","Molécules de signalisation immunitaire.","Dans le lait maternel : TNFα, IL1, IL6, IL8, IL10, interféron."
"microbiote intestinal","Ensemble des micro-organismes colonisant l'intestin.","Le lait maternel favorise un microbiote riche en Bifidobacterium et Lactobacillus, avec moins d'E. coli et Clostridium difficile."
"colostrum","Premier lait (20-50 ml).","Coloration orangée (β-carotène), plus riche en protéines, minéraux, Ig (10 fois plus), moins riche en lactose et lipides. Valeur énergétique 58 kcal/dl."
"lait de transition","Lait de la montée laiteuse jusqu'à J15.","Diminution des protéines et Ig, augmentation du lactose, lipides, valeur énergétique. Augmentation des vitamines hydrosolubles, diminution des liposolubles."
"peau à peau","Contact direct entre la peau du bébé et celle de la mère (ou du père).","Recommandé immédiatement après la naissance (30 minutes) pour favoriser la première tétée."
"expression manuelle du lait","Technique manuelle pour extraire le lait.","Nécessite lavage des mains, massage des seins, puis pression des pulpes de l'index et du pouce en vis-à-vis autour de l'aréole."
"tire-lait","Dispositif mécanique ou électrique pour tirer le lait.","Mentionné comme alternative à l'expression manuelle."
"AFSSA","Agence Française de Sécurité Sanitaire des Aliments (devenue ANSES).","A émis des recommandations sur la conservation du lait maternel : 48h au frigo (4°C), 4 mois au congélateur (-18°C)."
"entérocolite ulcéro-nécrosante (ECUN)","Maladie intestinale grave du nouveau-né.","L'allaitement maternel diminue le risque d'ECUN."
"maladie cœliaque","Entéropathie auto-immune déclenchée par le gluten.","L'allaitement maternel diminue le risque de maladie cœliaque."
"maladie de Crohn","Maladie inflammatoire chronique de l'intestin.","L'allaitement maternel diminue le risque de maladie de Crohn."
"hémorragie du post-partum","Saignement abondant après l'accouchement.","L'allaitement diminue ce risque grâce à l'ocytocine qui provoque la contraction utérine."
"méthode MAMA","Méthode de l'allaitement maternel et de l'aménorrhée.","Méthode contraceptive naturelle efficace à 98% sous trois conditions : bébé <6 mois, aménorrhée, allaitement exclusif (consensus de Bellagio)."
"consensus de Bellagio","Accord international sur les critères d'efficacité contraceptive de l'allaitement.","Définit les trois conditions pour que la méthode MAMA soit efficace."
"galactosémie congénitale","Maladie héréditaire du métabolisme du galactose.","Contre-indication à l'allaitement maternel car le lait contient du lactose (glucose+galactose)."
"VHB","Virus de l'hépatite B.","Contre-indication générale à l'allaitement."
"VHC","Virus de l'hépatite C.","Contre-indication générale à l'allaitement."
"VIH","Virus de l'immunodéficience humaine.","Contre-indication générale à l'allaitement."
"galactophorite","Inflammation des canaux galactophores.","Contre-indication locale à l'allaitement."
"abcès collecté du sein","Collection purulente dans le sein.","Contre-indication locale à l'allaitement."
"macro-adénome à prolactine","Tumeur hypophysaire bénigne sécrétant de la prolactine.","Contre-indication à l'allaitement."
"engorgement mammaire","Douleurs mammaires intenses avec fièvre à 38°C, frissons, gêne à l'écoulement du lait.","Une complication de l'allaitement."
"mastite","Inflammation du sein souvent infectieuse.","Complication de l'allaitement."
"abcès du sein","Collection purulente intra-mammaire.","Complication sévère de l'allaitement."
"gerçures","Fissures douloureuses du mamelon.","Lésion du mamelon, complication fréquente."
"crévasses","Fissures profondes du mamelon.","Lésion du mamelon."
