"kyste hilaire","Formation kystique au niveau du hile hépatique","Présent dans le type 2 d'AVB, communiquant avec des voies biliaires intrahépatiques dystrophiques."
"vésicule biliaire","Organe de stockage de la bile","Le type 3 d'AVB respecte la vésicule, le cystique et le cholédoque."
"ictère cutanéo-muqueux persistant","Jaunisse des téguments et muqueuses durant plus de 2 semaines","Fait partie de la triade clinique évocatrice d'AVB."
"selles décolorées (mastic)","Couleur pâle des selles","Signe de cholestase complète, élément de la triade."
"urines foncées","Urines anormalement sombres","Signe de bilirubinurie, élément de la triade."
"hépatomégalie","Augmentation du volume du foie","Troisième signe de la triade clinique."
"échographie abdominale","Examen d'imagerie par ultrasons de l'abdomen","Examen clé, réalisé après 12h de jeun, enfant perfusé. Permet de visualiser vésicule, kyste hilaire, polysplénie. Une échographie normale n'élimine pas l'AVB."
"cholangiographie","Visualisation radiologique des voies biliaires après injection de produit de contraste","Si visualisation de tout l'arbre biliaire, élimine le diagnostic d'AVB. Peut être le premier temps de l'intervention de Kasai."
"biopsie hépatique","Prélèvement d'un fragment de foie pour analyse","Réalisée si examen clinique non concluant, avant ou pendant l'intervention de Kasai."
"hyperbilirubinémie conjuguée","Augmentation du taux de bilirubine conjuguée dans le sang","Signe biologique de cholestase dans l'AVB."
"phosphatases alcalines","Enzyme hépatique","Augmentée dans l'AVB, participant au syndrome de cholestase."
"gGT (gamma-glutamyl-transférase)","Enzyme hépatique","Augmentée dans l'AVB."
"hypovitaminose K","Carence en vitamine K (liposoluble)","Survient par défaut d'absorption faute de bile, entraînant baisse des facteurs II, VII, X et risque de syndrome hémorragique."
"intervention de Kasai","Hépato-porto-entérostomie","Traitement chirurgical de l'AVB : dérivation bilio-digestive entre hile hépatique et anse jéjunale en Y après exérèse du reliquat biliaire. Idéale avant 1 mois."
"hépato-porto-entérostomie","Nom technique de l'intervention de Kasai","Anastomose du hile hépatique à l'intestin (anse jéjunale)."
"cholangite","Infection des voies biliaires","Complication fréquente après Kasai, ascendante ou récidivante."
"syndrome d'HTP (hypertension portale)","Augmentation de la pression dans la veine porte","Complication survenant si intervention trop tardive (cirrhose installée) ou même après succès de Kasai."
"bilomes","Cavités biliaires intrahépatiques","Complication post-opératoire de l'intervention de Kasai, pouvant se surinfecter ou comprimer la veine porte."
"hépatocarcinome","Cancer primitif du foie","Risque tardif chez les patients avec AVB."
"hépatoblastome","Tumeur maligne du foie de l'enfant","Risque mentionné dans le document."
"cholangiocarcinome","Cancer des voies biliaires","Risque tardif."
"transplantation hépatique","Greffe du foie","Première indication de transplantation hépatique chez l'enfant. Indiquée en cas d'échec de Kasai ou de développement de cirrhose/HTP."
"supplémentation protidique","Apport de protéines","Préparation pour l'intervention."
"vaccination contre les virus de l'hépatite A et B","Immunisation préventive","Recommandée dans la prise en charge."
