"Numéro","Question","Option A","Option B","Option C","Option D","Réponse (lettre)","Explication","Difficulté"
"17","Quel est l''effet de la position demi-assise dans la prise en charge initiale ?","Favoriser la déglutition","Prévenir le reflux de liquide gastrique dans la trachée","Stimuler le péristaltisme œsophagien","Réduire l''hydramnios","B","Le document indique : ""Position demi-assise pour prévenir le reflux de liquide gastrique dans la trachée""","Moyen"
"18","Que visualise l''injection de 2 cc d''air dans la sonde lors de la radiographie ?","La trachée","Le fond du cul de sac supérieur","L''estomac","La fistule","B","Le document dit : ""permet de visualiser le fond du cul de sac supérieur""","Moyen"
"19","Quelle est la principale conséquence de l''hydramnios dans l''atrésie de l''œsophage ?","Le bébé avale trop de liquide","Le bébé n''avale pas le liquide amniotique","Le bébé urine excessivement","Le placenta produit trop de liquide","B","Le document explique : ""Hydramnios car le bébé n''avale pas le liquide amniotique d''où l''accumulation excessive de liquide""","Moyen"
"20","Quel type de sonde est recommandé pour l''aspiration naso-œsophagienne ?","Sonde simple","Sonde à double courant","Sonde de Salem","Sonde de Levin","B","Le document précise : ""une sonde naso-oesophagienne d''aspiration en place, si possible à double courant""","Moyen"
"21","Quel est le risque spécifique lié à la position allongée chez un bébé avec une fistule de type 3 ?","Risque d''apnée","Risque de passage du contenu du suc gastrique vers la trachée","Risque de déshydratation","Risque d''hyperthermie","B","Le document indique : ""Risque de passage du contenu du suc gastrique vers la trachée si bébé en position allongée""","Moyen"
"22","Quelles sont les trois séquelles possibles après anastomose œsophagienne ?","Sténose, fistule, reflux","Trachéomalacie, dyskinésie œsophagienne, reflux gastro-œsophagien","Atrésie, fistule, infection","Dilatation, hernie, obstruction","B","Le document mentionne : ""trachéomalacie, une dyskinésie œsophagienne ou un reflux gastro-œsophagien""","Moyen"
"23","Quel est le signe radiologique abdominal en faveur d''une forme avec fistule du cul de sac inférieur ?","Aération digestive","Opacité totale de l''abdomen","Niveaux hydro-aériques","Calcifications","A","Le document dit : ""ASP : l''aération digestive est en faveur de la forme avec fistule du cul de sac inférieur dans les voies aériennes""","Moyen"
"24","Que doit-on faire théoriquement sans attendre les signes cliniques ?","Une échographie anténatale","Un passage systématique d''une sonde gastro-œsophagienne","Une radiographie thoracique","Un bilan biologique","B","Le document précise : ""Théoriquement, le diagnostic doit se faire après passage systématique d''une sonde gastro-œsophagienne ni trop fine, ni trop molle sans attendre l''apparition des signes précités.""","Moyen"
"25","Quelle est la définition du type IV dans la classification de Ladd et Gross ?","Fistule du cul de sac proximal dans la carène","Fistule du cul de sac distal dans la carène ou bronche souche","Fistule des deux culs de sac dans la trachée","Atrésie avec cul de sac distal borgne","B","Le document indique : ""Type IV : fistule du cul de sac distal dans la carène ou bronche souche""","Difficile"
"26","Quel est le risque de la fistule du cul de sac proximal lorsqu''il est plein ?","Risque de pneumothorax","Risque d''inhalation","Risque d''hémorragie","Risque de perforation","B","Le document dit : ""Risque d''inhalation après que le cds prox soit plein""","Difficile"
"27","Quelles sont les deux principales complications post-opératoires citées en fin de document ?","Fistules et sténoses","Hémorragies et infections","Trachéomalacie et dyskinésie","RGO et malformations","A","Le document conclut : ""Complications : fistules, sténoses""","Difficile"
"28","Que signifie l''expression ""abdomen totalement opaque"" dans les formes sans fistule ?","Présence de liquide libre","Absence d''air dans le tube digestif","Distension gazeuse","Hématome rétropéritonéal","B","Le document mentionne : ""Formes sans fistule : abdomen totalement opaque, tsy misy rivotra mandeha"" (absence d''air qui circule)","Difficile"
"29","Quel est le mécanisme expliquant le taux élevé de malformations associées ?","Facteur environnemental","Trouble de l''embryogenèse entre 4ème et 6ème SA","Anomalie chromosomique","Toxique médicamenteux","B","Le document explique : ""Elle résulte d''un trouble de l''embryogenèse entre la 4ème et la 6ème Sa, ce qui explique le taux élevé de malformations associées""","Difficile"
