question,answer,explanation
"Quels sont les examens complémentaires utiles dans l’appendicite aiguë ?","NFS (hyperleucocytose >10.000, polynucléose neutrophile), radiographie ASP (normale, iléus à droite, coprolithes), laparoscopie (diagnostique et thérapeutique).","Le document : 'Examens complémentaires'","Medium"
"Quelles sont les formes graves d’appendicite ?","Péritonite purulente généralisée d’emblée, péritonite en 2 temps, péritonite plastique localisée et abcès appendiculaire.","Le document : 'Formes graves'","Medium"
"Quelles sont les formes selon le terrain ?","Appendicite de l’enfant, appendicite toxique de Dieulafoy, appendicite du nourrisson, appendicite de la femme enceinte, appendicite du vieillard.","Le document : 'Formes selon le terrain'","Medium"
"Quelles sont les formes topographiques rares ?","Appendicite sous-hépatique, pelvienne, mésocoeliaque, rétro-caecale.","Le document : 'Formes topographiques'","Medium"
"Quels sont les diagnostics différentiels pré-opératoires d’ordre urinaire ?","Colique néphrétique droite (ASP lithiase, échographie dilatation pyélo-calicielle).","Le document : 'Affection urinaire'","Medium"
"Quels sont les diagnostics différentiels gynécologiques ?","Salpingite, kyste ovarien, grossesse extra-utérine (GEU). L’échographie permet le diagnostic.","Le document : 'Affection gynécologique'","Medium"
"Quels sont les diagnostics différentiels per-opératoires du carrefour iléo-caecal ?","Iléite de Crohn, yerseniose, adéno-lymphite mésentérique, mucocèle appendiculaire, flirt appendiculo-ovarien.","Le document : 'Pendant l’intervention'","Medium"
"Quels sont les diagnostics différentiels post-opératoires histologiques ?","Carcinoïde, adénocarcinome de l’appendice.","Le document : 'Stade post-opératoire'","Medium"
"Quel est le traitement du plastron appendiculaire ?","Traitement médical d’abord, puis appendicectomie différée à 2-3 mois.","Le document : 'PLASTRON : seule appendicite à ne pas opérer d’emblée : après 3 à 4 mois, traitement médical d’abord' (le document dit 3-4 mois, mais aussi 2-3 mois ailleurs).","Medium"
"Quel est le traitement de l’abcès appendiculaire ?","Évacuation drainage de la collection, sans chercher à enlever l’appendice ; appendicectomie différée à 4-6 mois.","Le document : 'Évacuation drainage... Ne pas chercher à tout prix à enlever l’appendice, ce sera fait après 4 à 6 mois'","Medium"
"Quel est le traitement de la péritonite appendiculaire généralisée ?","Abord large (médiane), toilette péritonéale soigneuse, appendicectomie, drainage large, réanimation, antibiothérapie.","Le document : 'Péritonite généralisée'","Medium"
"Quelles sont les avantages de l’appendicectomie sous coelioscopie ?","Chez les obèses, pour les doutes diagnostiques, hospitalisation courte.","Le document : 'Avantages'","Medium"
"Quelles sont les complications post-opératoires précoces ?","Abcès de paroi ou du Douglas, syndrome du 5ème jour, péritonite post-opératoire.","Le document : 'Précoces'","Medium"
"Quelles sont les complications post-opératoires tardives ?","Occlusion par brides, éventration.","Le document : 'Tardives'","Medium"
"Comment se manifeste l’appendicite toxique de Dieulafoy ?","Prostration, faciès altéré, pouls accéléré, syndrome hémorragique.","Le document : 'Appendicite toxique de Dieulafoy'","Medium"
"Pourquoi l’appendicite du nourrisson est-elle très grave ?","Retard diagnostique, mortalité 50% avant 6 mois.","Le document : 'Très grave, 50% de mortalité avant 6 mois car retard diagnostique'","Medium"
"Quel est l’aspect de l’appendicite du vieillard ?","Endolorissement de la FID, anorexie, constipation, température et GB souvent normaux, occlusion fébrile, tumeur inflammatoire du caecum.","Le document : 'Appendicite du vieillard'","Difficult"
"Quelle est la particularité de l’appendicite sous-hépatique ?","Elle simule une cholécystite.","Le document : 'Appendicite sous-hépatique -> comme une cholécystite'","Medium"
"Quelle est la particularité de l’appendicite pelvienne ?","Signes urinaires +++ ou signes digestifs type ténesme.","Le document : 'Appendicite pelvienne -> signes urinaires +++ ou signes digestifs type ténesme'","Medium"
"Quelle est la particularité de l’appendicite mésocoeliaque ?","Le toucher rectal trouve une douleur pré-rectale.","Le document : 'appendicite mésocoeliaque = TR : douleur pré-rectale'","Medium"
"Qu’est-ce que le syndrome du 5ème jour ?","Une complication post-opératoire précoce non détaillée, mais nommée.","Le document le cite sans explication.","Difficult"
"Qu’est-ce que le signe radiologique pathognomonique du plastron ?","Hyperclarté gazeuse extra-digestive au sein d’une opacité liquidienne.","Le document : 'ASP : hyperclarté gazeuse extra-digestive au sein d’une opacité liquidienne : signe pathognomonique du Plastron'","Difficult"
