"term","definition","contextual_explanation"
"Angiomes stellaires","Petits anévrismes artériolaires cutanés (thorax, dos) s’effaçant à la vitropression, témoins d’insuffisance hépatocellulaire.","Le document précise qu’il faut les compter car ils permettent d’apprécier la gravité de la cirrhose."
"Érythroses palmaires","Coloration rouge des éminences thénar et hypothénar, s’effaçant à la vitropression, signe d’insuffisance hépatocellulaire.","Présente dans la cirrhose décompensée."
"Hippocratisme digital","Élargissement des extrémités des doigts (en forme de baguette de tambour), signe d’insuffisance hépatocellulaire.","Observé dans la cirrhose décompensée."
"Ictère","Coloration jaune de la peau et des muqueuses par hyperbilirubinémie. Dans la cirrhose, mixte : bilirubine libre (IHC) et conjuguée (cholestase par compression des voies biliaires par les nodules).","Signe d’insuffisance hépatocellulaire et de cholestase."
"Bloc bêta-gamma","Aspect électrophorétique avec hypergammaglobulinémie et fusion des fractions bêta et gamma, dit « profil cirrhotique ».","Signe biologique évocateur de cirrhose."
"Encéphalopathie hépatique","Ensemble des complications neuro-psychiques engendrées par l’insuffisance hépatocellulaire. Premier motif de décès au cours de la cirrhose.","Classée selon West Haven en 4 stades, déclenchée par hémorragie digestive, hépatite alcoolique, benzodiazépines, infection, constipation, hyponatrémie, etc."
"Classification de West Haven","Système de stadification de l’encéphalopathie hépatique : stade 1 (astérixis, trouble du cycle nycthéméral), stade 2 (confusion, ralentissement psychomoteur), stade 3 (coma calme avec signes pyramidaux), stade 4 (coma sans focalisation, disparition de l’astérixis).","Utilisée pour évaluer la gravité de l’encéphalopathie dans la cirrhose."
"Syndrome hépato-rénal","Insuffisance rénale fonctionnelle survenant au cours d’une cirrhose décompensée, répondant à 4 critères (créatininémie >130 µmol/L, absence d’autre cause, sédiment normal, pas d’amélioration après expansion volémique). Survie médiane 15 jours (type 1) à 6 mois (type 2).","Complication grave de la cirrhose."
"Syndrome hépato-pulmonaire","Association d’une affection hépatique (cirrhose), d’une hypoxie artérielle et de dilatations vasculaires intrapulmonaires.","Complication pulmonaire de la cirrhose."
"Score de Child-Pugh","Score pronostique de la cirrhose basé sur bilirubinémie, albuminémie, TP, ascite et encéphalopathie (1-3 points chacun). Stade A (5-6), B (7-9), C (10-15).","Utilisé pour évaluer la gravité de la cirrhose."
"Score MELD","Score pronostique (créatininémie, bilirubine, INR, dialyse). MELD < 20 : survie à 3 mois 90% ; MELD > 20 : survie à 3 mois 60%.","Utilisé pour évaluer la gravité et la priorisation de transplantation."
"Carcinome hépato-cellulaire (CHC)","Cancer primitif du foie compliquant environ 10% des cirrhoses. Diagnostic par alpha-foeto-protéine >400 ng/mL, échographie (nodule), TDM (wash-out), PBH.","Complication redoutable de la cirrhose."
"Wash-out (lavage)","Phénomène radiologique au TDM : lésion hypodense sans injection, hyperdense après injection, puis hypodense au temps portal tardif (disparition rapide du produit de contraste).","Signe caractéristique du carcinome hépato-cellulaire."
"Infection spontanée du liquide d’ascite","Infection du liquide d’ascite par translocation de germes intestinaux (surtout E. coli), sans source infectieuse intra-abdominale. Diagnostic : >250 polynucléaires neutrophiles/mm³.","Complication infectieuse fréquente de la cirrhose."
"Hémochromatose","Maladie congénitale (mutation C282Y) ou rarement acquise, caractérisée par une surcharge en fer. Biologie : ferritinémie >500, coefficient saturation transferrine élevé, fer sérique élevé. Diagnostic par PBH.","Étiologie de cirrhose."
"Maladie de Wilson","Surcharge en cuivre par déficit en céruléoplasmine. Biologie : baisse de céruléoplasmine sérique, baisse de cuprémie, élévation de cuprurie.","Étiologie de cirrhose, recherche chez le sujet jeune."
"NASH (Non Alcoholic Steato-Hepatitis)","Stéato-hépatite non alcoolique, associée au syndrome métabolique (3 parmi : obésité abdominale, HTA, hypertriglycéridémie, diabète, HDL bas).","Étiologie de cirrhose."
"Cholangite biliaire primitive","Maladie auto-immune des petits canaux biliaires, anciennement appelée cirrhose biliaire primitive. Diagnostic par anticorps anti-mitochondrie de type M2.","Étiologie de cirrhose chez la femme d’âge moyen (30-50 ans)."
"Hépatite auto-immune","Hépatite chronique d’origine auto-immune, touchant la femme jeune (20-30 ans). Anticorps : anti-LKM1, anti-nucléaires, anti-muscle lisse.","Étiologie de cirrhose."
"Cirrhose cardiaque","Cirrhose secondaire à une insuffisance cardiaque droite prolongée. Foie ferme, douloureux au début, puis bord inférieur tranchant, sans reflux hépato-jugulaire.","Étiologie de cirrhose."
