"term","definition","contextual_explanation"
"catécholamines","Médicaments vaso-actifs (adrénaline, noradrénaline, dopamine, dobutamine).","Utilisées pour rétablir la pression artérielle et le débit cardiaque dans les chocs."
"dobutamine","Catécholamine à effet inotrope positif.","Utilisée dans le choc cardiogénique et le choc septique (en association)."
"adrénaline","Catécholamine.","Dans choc anaphylactique : 10 µg/kg IM renouvelable ou 0,1 µg/kg/min en perfusion continue. Aussi utilisée dans choc septique."
"noradrénaline","Catécholamine vasopressive.","Utilisée dans choc hypovolémique si nécessaire, et choc septique."
"dopamine","Catécholamine.","Utilisée dans le choc septique."
"ANAPEN","Stylo prérempli d’adrénaline disponible en pharmacie.","Utilisé dans le choc anaphylactique."
"hydrocortisone","Corticoïde.","Utilisé dans la corticothérapie du choc septique."
"antihistaminique","Médicament anti-H1.","Utilisé dans le choc anaphylactique."
"diurétique","Médicament augmentant la diurèse.","Utilisé dans le choc cardiogénique pour réduire la précharge."
"restriction hydrique","Limitation des apports liquidiens.","Mesure dans le choc cardiogénique pour éviter la surcharge."
"monitoring","Surveillance continue des paramètres vitaux.","Mise en condition du patient en réanimation."
"VVP","Voie veineuse périphérique.","Mettre 2 VVP pour le traitement du choc."
"SSI 0,9%","Sérum salé isotonique à 0,9% (NaCl).","Solution de remplissage vasculaire."
"streptocoque B","Bactérie.","Étiologie du choc septique chez le nouveau-né."
"E. coli","Escherichia coli, bactérie.","Étiologie du choc septique chez le nouveau-né."
"pneumocoque","Streptococcus pneumoniae.","Étiologie du choc septique chez l’enfant."
"staphylocoque doré","Staphylococcus aureus.","Étiologie du choc septique chez l’enfant et l’immunodéprimé."
"haemophilus","Haemophilus influenzae.","Étiologie du choc septique chez l’enfant."
"méningocoque","Neisseria meningitidis.","Étiologie la plus fréquente de choc septique avec purpura fébrile chez l’enfant."
"candida","Champignon.","Étiologie du choc septique chez l’immunodéprimé."
"herpes","Virus herpes simplex.","Étiologie du choc septique chez l’immunodéprimé."
"CMV","Cytomégalovirus.","Étiologie du choc septique chez l’immunodéprimé."
"gastro-entérite aiguë","Infection digestive avec diarrhées et vomissements.","Cause fréquente de choc hypovolémique par perte hydrique."
"syndrome néphrotique","Maladie rénale avec protéinurie massive.","Cause de pertes plasmatiques → choc hypovolémique."
"diabète sucré","Maladie métabolique avec hyperglycémie.","Cause de choc hypovolémique par déshydratation."
"insuffisance surrénalienne","Déficit en cortisol.","Cause de choc hypovolémique (parfois associée)."
