"term","definition","contextual_explanation"
"courbe de Nancy","Référence française des courbes de pression artérielle en fonction du sexe et de la taille.","Utilisée pour interpréter les chiffres de PA chez l’enfant."
"retentissement","Atteinte des organes cibles par l’HTA.","Évalue la gravité : vaisseaux, yeux, reins, cœur."
"microalbuminurie","Élimination urinaire d’albumine à faible dose, signe précoce d’atteinte rénale.","Marqueur de retentissement rénal de l’HTA."
"néphro-angiosclérose","Sclérose des artères rénales et du parenchyme secondaire à l’HTA.","Complication rénale."
"HVG","Hypertrophie ventriculaire gauche – épaississement du muscle cardiaque gauche.","Complication cardiaque fréquente de l’HTA chronique."
"dysfonctionnement diastolique","Anomalie du remplissage ou du relâchement du ventricule gauche.","Conséquence de l’HTA sur le cœur."
"encéphalopathie hypertensive","Urgence vitale avec céphalées pulsatiles, obnubilation, convulsions, coma, signes déficitaires.","Complication neurologique grave de l’HTA maligne."
"FO","Fond d’œil – examen de la rétine.","À la recherche de rétinopathie hypertensive : hémorragies, exsudats, œdèmes papillaires."
"AVC","Accident vasculaire cérébral (ischémique ou hémorragique).","Complication possible."
"rénine","Enzyme libérée par le rein participant à la régulation de la PA.","Dosée dans le bilan étiologique, surtout élevée dans les sténoses artérielles rénales."
"aldostérone","Hormone surrénalienne régulant la volémie et la PA.","Dosée avec la rénine."
"catécholamines urinaires","Noradrénaline, normétadrénaline – marqueurs de phéochromocytome.","Dosage clé devant une HTA paroxystique."
"UIV","Urographie intraveineuse – examen radiologique des voies urinaires après injection de produit de contraste.","En seconde phase si infections urinaires répétées ou reins cicatriciels."
"cystographie","Examen radiologique de la vessie après injection de produit de contraste par sonde.","Recherche un reflux vésico-urétéral."
"scintigraphie DMSA","Scintigraphie au dimercaptosuccinique – évaluation des lésions rénales cicatricielles.","Utilisée pour les reins cicatriciels ou l’atteinte rénovasculaire."
"artériographie","Radiographie des artères après injection de produit de contraste.","Pour le diagnostic de sténose de l’artère rénale."
"phéochromocytome","Tumeur médullosurrénale sécrétant des catécholamines.","Cause endocrinienne rare (1-3 %) d’HTA paroxystique avec céphalées, sueurs, palpitations."
"MIBG","Méta-Iodo-Benzyl-Guanidine – traceur pour scintigraphie des tumeurs neuroendocrines.","Utilisée pour localiser un phéochromocytome."
"tumeur à rénine","Tumeur rénale sécrétant de la rénine, exceptionnelle.","Diagnostiquée par TDM ou IRM et dosages étagés de rénine."
"glomérulonéphropathies chroniques","Groupe de maladies du glomérule rénal entraînant HTA par surcharge volémique.","Représentent 30-40 % des causes d’HTA secondaire."
"néphrose cortico-résistante","Syndrome néphrotique ne répondant pas à la corticothérapie.","Sous-groupe de glomérulopathie chronique."
"LED","Lupus érythémateux disséminé – maladie auto-immune.","Cause de glomérulopathie."
"vascularite","Inflammation des vaisseaux.","Cause de néphropathie avec HTA."
"dysplasie fibro-musculaire","Maladie non athéroscléreuse des artères rénales, cause de sténose.","Cause réno-vasculaire fréquente d’HTA chez l’enfant."
"syndrome de Williams-Beuren","Maladie génétique associant sténose aortique supravalvulaire, retard mental modéré, retard de croissance.","Cause d’HTA réno-vasculaire."
"Von Recklinghausen","Neurofibromatose de type 1, maladie génétique pouvant donner des sténoses artérielles.","Affection générale associée à l’HTA."
"pseudoxanthome élastique","Maladie dégénérative du tissu élastique.","Cause d’atteinte vasculaire."
"artérite de Takayasu","Vascularite inflammatoire des gros vaisseaux.","Cause rare d’HTA réno-vasculaire."
"syndrome hémolytique et urémique (SHU)","Triade : insuffisance rénale aiguë, anémie hémolytique, thrombopénie.","Séquelles rénales source d’HTA (6-14 %)."
"reins cicatriciels","Lésions rénales séquellaires d’infections (pyélonéphrite aiguë avec reflux).","Cause d’HTA (3-30 %)."
"polykystose rénale","Maladie génétique avec multiples kystes rénaux.","Cause d’HTA (5-10 %)."
"néphroblastome","Tumeur rénale maligne de l’enfant (tumeur de Wilms).","Cause tumorale rare."
"sympathoblastome","Neuroblastome – tumeur du système nerveux sympathique.","Cause tumorale rare."
"cyclosporine","Immunosuppresseur utilisé en transplantation.","Peut induire une HTA post-transplantation."
"hyperplasie surrénalienne par déficit enzymatique","Hyperplasie congénitale des surrénales par déficit en 11-bêta-hydroxylase ou 17-bêta-hydroxylase.","Cause endocrinienne rare avec pseudohermaphrodisme."
"hyperthyroïdie","Excès d’hormones thyroïdiennes.","Cause endocrinienne rare."
"hyperaldostéronisme","Excès d’aldostérone (primaire ou secondaire).","Cause rare d’HTA."
"coarctation de l’aorte","Rétrécissement congénital de l’aorte, souvent au niveau de l’isthme.","Cause fréquente d’HTA chez le nourrisson (10 % des cardiopathies). Signes : abolition pouls fémoraux, HTA membres supérieurs, souffle dorsal, image en double bouton aortique."
"réglisse","Plante contenant de la glycyrrhizine, pouvant provoquer une HTA par pseudo-hyperaldostéronisme.","Intoxication rare."
"HTA essentielle","Hypertension sans cause identifiée.","Très rare chez l’enfant, diagnostic d’élimination."
"syndrome d’insulino-résistance","État associant obésité, HTA, diabète de type 2.","Comorbidité fréquente chez l’enfant obèse (30 % des enfants avec IMC ≥ 95ème percentile ont une HTA)."
"furosémide","Diurétique de l’anse.","Dose : 0,5-2 mg/kg/j (max 8 mg/kg) en 2-6 prises. Risque d’hypokaliémie."
"spironolactone","Diurétique anti-aldostérone.","Dose : 1-5 mg/kg/j en 1 prise."
"bumétamide","Diurétique de l’anse.","Dose : 0,05-0,1 mg/kg/j en 1 prise."
"hydrochlorothiazide","Diurétique thiazidique.","Dose : 0,5-1 mg/kg/j en 1-2 prises."
"acébutolol","Bêta-bloquant.","Dose : 3-15 mg/kg/j en 2-3 prises."
"labétalol","Alpha-bêta-bloquant.","Dose PO : 3-20 mg/kg/j en 2-3 prises ; IV : 0,2 mg/kg en bolus renouvelable ou 1 mg/kg/h (max 20 mg/kg/j) en crise HTA."
"aténolol","Bêta-bloquant.","Dose : 1-8 mg/kg/j."
"propanolol","Bêta-bloquant non cardiosélectif.","Utilisé dans l’HTA."
"prazosine","Alpha-bloquant.","Dose : 0,01 à 0,1 mg/kg (1-5 mg)."
"nifédipine","Inhibiteur calcique.","Contre-indication : nouveau-né, tachycardie."
"nicardipine","Inhibiteur calcique.","Risque de tachycardie."
"amlodipine","Inhibiteur calcique.","Utilisé dans l’HTA de l’enfant."
"captopril","Inhibiteur de l’enzyme de conversion (IEC).","Contre-indications : insuffisance rénale, sténose de l’artère rénale."
"énalapril","IEC.","Contre-indication : toux."
"dihydralazine","Vasodilatateur.","Utilisé dans l’HTA sévère."
"minoxidil","Vasodilatateur puissant.","Utilisé en dernier recours."
"angioplastie endominale transcutanée","Dilatation percutanée d’une sténose artérielle par ballonnet.","Succès 60 % pour les sténoses rénales."
"néphrectomie","Ablation chirurgicale du rein.","Indiquée en cas de rein dysmorphique ou cicatriciel unilatéral responsable d’HTA."
