"term","definition","contextual_explanation"
"foramen ovale","Ouverture entre les oreillettes droite et gauche chez le fœtus.","Aussi appelé trou de Botale ; se ferme après l'aération alvéolaire car la pression OG devient supérieure à OD."
"trou de Botale","Synonyme de foramen ovale.","Terme utilisé dans le document pour désigner le foramen ovale."
"canal artériel","Vaisseau reliant l'artère pulmonaire à l'aorte chez le fœtus.","Se ferme par vasoconstriction après augmentation de la pression systémique."
"canal d'Arantius","Ductus venosus – shunt veineux fœtal qui relie la veine ombilicale à la veine cave inférieure.","Se ferme après clampage du cordon par disparition du retour veineux ombilical."
"ductus venosus","Nom savant du canal d'Arantius.","Il participe à la circulation fœtale."
"fonctionnement en parallèle des ventricules","Mode de fonctionnement cardiaque fœtal où les deux ventricules éjectent le sang vers la circulation systémique.","S'oppose au fonctionnement en série post-natal."
"retour veineux ombilical","Sang oxygéné revenant du placenta par la veine ombilicale.","Disparaît après clampage du cordon, entraînant la fermeture du canal d'Arantius."
"aération alvéolaire","Entrée d'air dans les alvéoles pulmonaires.","L'effet de l'aération alvéolaire diminue les résistances pulmonaires."
"résistances pulmonaires","Opposition au flux sanguin dans les vaisseaux pulmonaires.","Diminuent après l'aération alvéolaire, favorisant le flux sanguin pulmonaire."
"pression OG>OD","Pression dans l'oreillette gauche supérieure à la pression dans l'oreillette droite.","Cette inversion de gradient ferme le foramen ovale."
"pression systémique","Pression artérielle dans la circulation générale.","Augmente après clampage du cordon, contribuant à la fermeture du canal artériel."
"vasoconstriction","Diminution du diamètre des vaisseaux sanguins.","La vasoconstriction du canal artériel conduit à sa fermeture définitive."
"adaptation thermique","Mécanismes de régulation de la température corporelle après la naissance.","Inclut la thermogenèse par lipolyse et la limitation des pertes thermiques."
"thermogenèse","Production de chaleur par l'organisme.","Se fait par lipolyse de la graisse chez le nouveau-né."
"lipolyse","Dégradation des triglycérides en acides gras et glycérol.","La thermogenèse post-natale utilise la lipolyse de la graisse."
"graisse","Tissu adipeux servant de réserve énergétique et de source de chaleur.","La lipolyse de la graisse produit de la chaleur."
"hypothermie","Température corporelle anormalement basse (<36,5°C).","Le nouveau-né a un risque d'hypothermie en raison des pertes thermiques importantes."
"conduction","Transfert de chaleur par contact direct.","Pertes thermiques par différence de température entre la peau du nouveau-né et la surface sur laquelle il est posé."
"convection","Transfert de chaleur par un fluide (air, liquide) en mouvement.","Dépend du gradient de température entre la peau du nouveau-né et l'air circulant."
"radiation","Échange de chaleur par rayonnement infrarouge avec l'environnement.","Se fait avec les parois froides de l'environnement."
"évaporation","Perte de chaleur par transformation d'eau en vapeur.","Essentiellement par voie respiratoire et cutanée."
"régulation glycémique","Maintien de la glycémie dans des limites normales.","Chez le nouveau-né, dépend des réserves en glycogène et de l'équilibre glucagon/insuline."
"glycogène","Polysaccharide de stockage du glucose dans le foie et les muscles.","Le nouveau-né à terme mobilise ses réserves en glycogène après clampage du cordon."
"glucagon","Hormone hyperglycémiante sécrétée par le pancréas.","Participe à l'équilibre avec l'insuline pour la régulation glycémique."
"insuline","Hormone hypoglycémiante sécrétée par le pancréas.","Son équilibre avec le glucagon est important pour la glycémie."
"glycémie","Taux de glucose dans le sang.","Maintenue >0,4 g/L (2,3 mmol/L) chez le nouveau-né à terme ; chute à 1 heure puis se normalise en 4-6 heures."
"glycogénolyse","Dégradation du glycogène en glucose.","Contribue à la normalisation de la glycémie après la naissance."
"néoglucogenèse","Synthèse de glucose à partir de précurseurs non glucidiques.","Aide à normaliser la glycémie 4 à 6 heures après la naissance."
"alimentation précoce","Première tétée ou administration de lait dans les premières heures.","Relaye la glycogénolyse et la néoglucogenèse pour maintenir la glycémie."
"adaptation digestive","Mise en place des fonctions digestives après la naissance.","Inclut la motricité intestinale et la succion-déglutition."
"motricité intestinale","Mouvements de l'intestin assurant le transit.","Action propulsive de jeûne : très désordonnée avant 31 SA, harmonieuse à >34 SA. Motricité postprandiale détectable à partir de 31 SA."
"action propulsive de jeûne","Contractions intestinales en l'absence d'aliments.","Très désordonnée avant 31 SA."
"motricité postprandiale","Motricité intestinale après un repas.","Détectable à partir de 31 SA, avec sollicitation progressive."
"succion-déglutition","Coordination de la succion et de la déglutition pour s'alimenter.","Mature à 34-36 SA, permettant la tétée."
"tétée","Action de téter le sein ou le biberon.","Rendue possible par la maturation de la succion-déglutition à 34-36 SA."
