question,answer,explanation
"Quel est le critère de Ranson à l'admission pour la calcémie ?","< 2 mmol/l.","Document.","Easy"
"Quel est le critère de Ranson à 48h pour l'urée ?","> 1,8 mmol/l.","Document.","Easy"
"Quel est le critère de Ranson à 48h pour la séquestration ?","> 6 L.","Document.","Easy"
"Quel est le critère de Ranson à 48h pour la PaO2 ?","< 60 mmHg.","Document.","Easy"
"Quel est le critère de Ranson à 48h pour le bicarbonate ?","Baisse à 4 mEq/L.","Document.","Easy"
"Quel est le nombre total de critères de Ranson ?","11 (6 à l'admission, 5 à 48h).","Document.","Medium"
"Un patient avec 4 critères de Ranson a quel risque de pancréatite sévère ?","Moins de 93% (seuil 5-6 = 93%).","Document.","Medium"
"Quel est le grade Balthazar pour une collection liquidienne avec bulles ?","Grade E.","Document.","Medium"
"Quel est le grade Balthazar pour une simple infiltration de la graisse ?","Grade C.","Document.","Medium"
"Quel est le grade Balthazar pour une coulée de nécrose unique ?","Grade D.","Document.","Medium"
"Quel est le grade Balthazar pour un pancréas augmenté de volume ?","Grade B.","Document.","Medium"
"Quel est le grade Balthazar pour un pancréas normal ?","Grade A.","Document.","Easy"
"Quel est le pronostic d'une nécrose >50% dans le score de Balthazar ?","6 points, mortalité plus élevée (index >7 si inflammation grade C ou plus).","Document.","Difficult"
"Quelle est la conduite à tenir devant une suspicion de pancréatite aiguë ?","Hospitalisation, bilan biologique (amylase, lipase, CRP, NFS, iono), imagerie (TDM), évaluation des scores de gravité.","Document.","Medium"
