"term","definition","contextual_explanation"
"RCP","Réunion de Concertation Pluridisciplinaire.","Présentation du patient pour décision thérapeutique."
"gastrectomie des 4/5","Ablation des quatre cinquièmes de l’estomac.","Chirurgie curative pour cancer antro-pylorique, conserve 1/5 supérieur."
"anastomose gastro-jéjunale","Connexion entre l’estomac restant et le jéjunum.","Rétablit la continuité digestive."
"curage ganglionnaire","Ablation des ganglions lymphatiques régionaux.","Améliore la survie."
"gastrectomie totale","Ablation complète de l’estomac.","Pour cancer du 1/3 moyen ou supérieur, ou linite gastrique."
"anastomose œso-jéjunale","Connexion entre l’œsophage et le jéjunum.","Après gastrectomie totale."
"gastro-entérostomie de dérivation","Anastomose entre l’estomac et le jéjunum sans résection.","Chirurgie palliative pour tumeur non résécable mais patient opérable."
"jéjunostomie d’alimentation","Abouchement du jéjunum à la peau.","Nutrition entérale palliative."
"gastrectomie partielle de propreté","Résection partielle pour nettoyer une tumeur infectée ou pour hémostase.","Chirurgie palliative."
"curage D1","Curage limité aux ganglions 1 à 6 (ou 3 à 6 selon gastrectomie).","N’est pas meilleur que D2."
"curage D2","Curage D1 + groupes 7,8,9,10,11 (avec splénectomie possible).","Curage standard."
"curage D3","Curage incluant les ganglions derrière le pancréas (groupes 13-16).","Plus étendu."
"mucosectomie endoscopique","Résection endoscopique de la muqueuse.","Pour tumeur superficielle T1N0M0."
"endoprothèse","Tube mis en place par endoscopie pour dilater une sténose.","Indiquée si occlusion haute (sténose) en palliatif."
"vitaminothérapie B12","Supplémentation en vitamine B12.","1000 µg/mois à vie après gastrectomie totale (carence par ablation des cellules pariétales)."
"surveillance endoscopique","Fibroscopies régulières.","Chez les sujets à risque et après traitement."
"ACE","Antigène carcino-embryonnaire.","Marqueur tumoral du cancer gastrique."
"Ca 19-9","Carbohydrate antigen 19-9.","Marqueur tumoral."
"folate","Vitamine B9.","Dosé lors de la surveillance biologique."
"survie à 5 ans","Pourcentage de patients vivants 5 ans après diagnostic.","35% après gastrectomie, >90% si superficiel, <5% si N3."
"mortalité opératoire","Décès liés à l’intervention chirurgicale.","Élevée : 10%."
